year,population,birth_rate,death_rate,migration_rate,lower_bound,upper_bound,year_over_year_change,population_millions
2025,146430631.0611555,7.586666666666588,14.726666666666745,-1.6266666666666652,145864137.57954535,146997124.54276565,0.26750764183328235,146.4306310611555
2026,146426858.23676682,7.062424242424186,14.92969696969709,-1.987878787878799,145860364.75515667,146993351.71837696,-0.00257652675628172,146.4268582367668
2027,146425783.5390835,6.5381818181817835,15.13272727272738,-2.3490909090909327,145859290.05747336,146992277.02069366,-0.0007339484683655521,146.4257835390835
2028,146424794.20464116,6.013939393939381,15.335757575757668,-2.7103030303030664,145858300.723031,146991287.6862513,-0.0006756558977765129,146.42479420464116
2029,146424794.20464116,5.489696969696979,15.538787878788014,-3.0715151515152,145858300.723031,146991287.6862513,0.0,146.42479420464116
2030,146424933.9880088,4.965454545454577,15.741818181818303,-3.432727272727334,145858440.50639865,146991427.46961895,9.54642746080697e-05,146.4249339880088
