iter	Passed	Remaining
456	293	989
457	293	987
458	293	986
459	294	984
460	294	982
461	294	981
462	295	979
463	295	977
464	295	975
465	295	974
466	296	972
467	296	970
468	296	969
469	297	967
470	297	965
471	297	964
472	298	962
473	298	961
474	298	959
475	299	958
476	299	956
477	299	954
478	300	953
479	300	951
480	300	949
481	301	948
482	301	946
483	301	945
484	301	943
485	302	941
486	302	939
487	302	938
488	303	936
489	303	934
490	303	933
491	304	931
492	304	930
493	304	928
494	304	926
495	305	925
496	305	923
497	305	921
498	306	920
499	306	919
500	306	917
501	307	916
502	307	914
503	307	913
504	307	911
505	308	910
506	308	908
507	308	906
508	309	905
509	309	903
510	309	902
511	310	901
512	310	900
513	310	898
514	311	897
515	311	895
516	311	894
517	312	893
518	312	891
519	312	890
520	313	889
521	313	887
522	313	886
523	314	884
524	314	883
525	314	881
526	315	880
527	315	879
528	315	877
529	315	876
530	316	874
531	316	873
532	316	872
533	317	870
534	317	869
535	317	868
536	318	866
537	318	865
538	318	863
539	319	862
540	319	861
541	319	860
542	320	858
543	320	857
544	320	856
545	321	854
546	321	853
547	321	852
548	321	850
549	322	849
550	322	848
551	323	847
552	323	846
553	323	844
554	323	843
555	324	842
556	324	840
557	324	839
558	325	837
559	325	836
560	325	835
561	325	833
562	326	832
563	326	831
564	326	830
565	327	828
566	327	827
567	327	826
568	328	824
569	328	823
570	328	822
571	328	820
572	329	819
573	329	818
574	329	817
575	329	815
576	330	814
577	330	813
578	330	812
579	331	811
580	331	809
581	331	808
582	332	807
583	332	805
584	332	804
585	332	803
586	333	802
587	333	800
588	333	799
589	334	798
590	334	797
591	334	796
592	335	795
593	335	793
594	335	792
595	336	791
596	336	790
597	336	789
598	337	788
599	337	787
600	337	786
601	338	785
602	338	784
603	338	783
604	339	782
605	339	781
606	339	779
607	340	778
608	340	777
609	340	776
610	341	775
611	341	774
612	341	772
613	341	771
614	342	770
615	342	769
616	342	768
617	343	767
618	343	766
619	343	765
620	344	764
621	344	763
622	344	762
623	345	761
624	345	760
625	345	759
626	346	758
627	346	756
628	346	755
629	346	754
630	347	753
631	347	752
632	347	751
633	348	749
634	348	748
635	348	747
636	348	746
637	349	745
638	349	744
639	349	743
640	350	742
641	350	741
642	350	740
643	351	739
644	351	738
645	351	737
646	352	736
647	352	735
648	352	734
649	353	733
650	353	732
651	353	731
652	354	730
653	354	729
654	354	728
655	354	727
656	355	726
657	355	725
658	355	724
659	356	723
660	356	722
661	356	721
662	357	720
663	357	719
664	357	718
665	357	717
666	358	715
667	358	714
668	358	713
669	359	712
670	359	711
671	359	710
672	360	710
673	360	709
674	360	708
675	360	706
676	361	705
677	361	704
678	361	703
679	362	703
680	362	702
681	362	701
682	363	700
683	363	699
684	363	698
685	364	697
686	364	696
687	364	695
688	365	695
689	365	694
690	365	693
691	366	692
692	366	691
693	366	690
694	367	689
695	367	688
696	367	687
697	368	686
698	368	685
699	368	685
700	369	684
701	369	683
702	369	682
703	370	681
704	370	680
705	370	679
706	370	678
707	371	677
708	371	676
709	371	675
710	372	674
711	372	673
712	372	672
713	373	672
714	373	671
715	373	670
716	374	669
717	374	668
718	374	667
719	375	666
720	375	665
721	375	665
722	376	664
723	376	663
724	376	662
725	376	661
726	377	660
727	377	659
728	377	658
729	378	657
730	378	656
731	378	656
732	379	655
733	379	654
734	379	653
735	379	652
736	380	651
737	380	650
738	380	649
739	381	649
740	381	648
741	381	647
742	382	646
743	382	645
744	382	644
745	382	643
746	383	642
747	383	641
748	383	641
749	384	640
750	384	639
751	384	638
752	385	638
753	385	637
754	385	636
755	386	635
756	386	634
757	386	633
758	387	633
759	387	632
760	387	631
761	388	630
762	388	630
763	388	629
764	389	628
765	389	627
766	390	627
767	390	626
768	390	625
769	391	624
770	391	623
771	391	623
772	392	622
773	392	621
774	392	620
775	392	619
776	393	619
777	393	618
778	393	617
779	394	616
780	394	615
781	394	614
782	395	614
783	395	613
784	395	612
785	396	611
786	396	610
787	396	610
788	397	609
789	397	608
790	397	607
791	397	606
792	398	606
793	398	605
794	398	604
795	399	603
796	399	603
797	399	602
798	400	601
799	400	600
800	400	600
801	401	599
802	401	598
803	401	597
804	402	596
805	402	596
806	402	595
807	402	594
808	403	593
809	403	592
810	403	592
811	404	591
812	404	590
813	404	589
814	405	588
815	405	588
816	405	587
817	406	586
818	406	586
819	406	585
820	407	584
821	407	583
822	407	583
823	408	582
824	408	581
825	408	580
826	408	579
827	409	579
828	409	578
829	409	577
830	410	576
831	410	576
832	410	575
833	411	574
834	411	573
835	411	573
836	412	572
837	412	571
838	412	571
839	413	570
840	413	569
841	413	569
842	414	568
843	414	567
844	414	566
845	415	566
846	415	565
847	415	564
848	416	564
849	416	563
850	416	562
851	416	561
852	417	561
853	417	560
854	418	560
855	418	559
856	419	558
857	419	558
858	419	557
859	420	556
860	420	556
861	420	555
862	420	554
863	421	553
864	421	553
865	421	552
866	422	551
867	422	550
868	422	550
869	423	549
870	423	548
871	423	547
872	423	547
873	424	546
874	424	545
875	424	545
876	425	544
877	425	543
878	425	543
879	426	542
880	426	541
881	426	541
882	427	540
883	427	539
884	427	539
885	428	538
886	428	537
887	428	536
888	429	536
889	429	535
890	429	534
891	429	534
892	430	533
893	430	532
894	430	531
895	431	531
896	431	530
897	431	529
898	432	529
899	432	528
900	432	527
901	432	527
902	433	526
903	433	525
904	434	525
905	434	524
906	434	523
907	434	523
908	435	522
909	435	521
910	435	520
911	436	520
912	436	519
913	436	518
914	437	518
915	437	517
916	437	516
917	438	516
918	438	515
919	438	515
920	439	514
921	439	513
922	439	513
923	439	512
924	440	511
925	440	510
926	440	510
927	441	509
928	441	508
929	441	508
930	442	507
931	442	506
932	442	506
933	443	505
934	443	505
935	443	504
936	444	503
937	444	503
938	444	502
939	445	501
940	445	501
941	445	500
942	446	500
943	446	499
944	446	498
945	447	498
946	447	497
947	447	496
948	448	496
949	448	495
950	448	494
951	449	494
952	449	493
953	449	493
954	450	492
955	450	491
956	450	491
957	451	490
958	451	490
959	451	489
960	452	488
961	452	488
962	452	487
963	452	486
964	453	486
965	453	485
966	453	484
967	454	484
968	454	483
969	454	482
970	455	482
971	455	481
972	455	480
973	455	480
974	456	479
975	456	478
976	456	478
977	457	477
978	457	477
979	457	476
980	458	475
981	458	475
982	458	474
983	459	474
984	459	473
985	459	472
986	460	472
987	460	471
988	460	470
989	461	470
990	461	469
991	461	469
992	462	468
993	462	467
994	462	467
995	462	466
996	463	466
997	463	465
998	463	464
999	464	464
1000	464	463
1001	464	462
1002	465	462
1003	465	461
1004	465	461
1005	466	460
1006	466	459
1007	466	459
1008	466	458
1009	467	458
1010	467	457
1011	467	456
1012	468	456
1013	468	455
1014	468	454
1015	469	454
1016	469	453
1017	469	453
1018	470	452
1019	470	451
1020	470	451
